Phase,Process,Assumed Action Count,Gas Per Action,Total Gas,Approx 30M-Gas Blocks,Approx Days @ 12s Blocks,CAD @ Current Mainnet Std (0.109 gwei),CAD @ 1 gwei,CAD @ 5 gwei,CAD @ 15 gwei,CAD @ 30 gwei,Notes
Deployment,Auto-deploy full Semaphore stack + Voting,1,15433605,15433605,0.51,0.00,4.95,45.45,227.23,681.70,1363.41,One-time per election if Semaphore is not reused.
Admin,Register all eligible electors,28731275,24348,699549083700,23318.30,3.24,224533.82,2059943.31,10299716.54,30899149.63,61798299.26,Uses official registered-elector count and large-benchmark registration cost per elector.
Pending,Link identity for each ballot cast,19811520,260932,5169459536640,172315.32,23.93,1659238.11,15222367.99,76111839.97,228335519.92,456671039.84,Uses official ballots-cast total and real Semaphore linkIdentity benchmark.
Pending,Worst-case: link identity for every registered elector,28731275,260932,7496909048300,249896.97,34.71,2406278.09,22075945.76,110379728.81,331139186.44,662278372.89,Upper-bound linking estimate if every eligible elector completes identity linking.
Open,Cast each ballot with real Semaphore proof,19811520,351520,6964145510400,232138.18,32.24,2235277.32,20507131.35,102535656.75,307606970.25,615213940.50,Uses official ballots-cast total and real proof vote baseline.
Total,National-scale total using registered electors for allowlist and ballots cast for link + vote,—,—,12833169564345,427772.32,59.41,4119054.20,37789488.10,188947440.50,566842321.50,1133684643.01,This is the most realistic federal-scale estimate for the current protocol design.
